# source_id: Baldwin2023_nodal_submerged_helium_injection
# source: Baldwin, Majumdar & LeClair, AIAA 2023-0847 (NTRS 20220008221), Tables 3-10
# original_data_from: Lacovic, R. F., "Comparison of experimental and calculated helium
#   requirements for pressurization of a Centaur liquid oxygen tank," NASA E-5539 (1970);
#   and Johnson, W. R., "Helium pressurant requirements for liquid-hydrogen expulsion using
#   submerged gas injection" (1967).
# apparatus: Centaur test vehicle LOX tank, High Energy Rocket Research Facility, NASA Lewis.
#   9.78 m^3 stainless tank: two spheroidal halves (major 3.02 m, minor 2.2 m) separated by a
#   0.11 m cylindrical section; walls above the cylindrical section thermally insulated;
#   5.9 kW heat leak into the bottom half; submerged injector inlet below 91.5 % of tank volume;
#   axial platinum RTD array. No experimental uncertainty reported in the source.
# extraction: transcribed from typeset tables -> exact.
# mode: ramp = pre-pressurization ramp + hold; direct = direct ullage injection with draining;
#       submerged = submerged injection with draining.
# htc_case: default = stock GFSSP ullage-to-wall and ullage-to-liquid natural-convection
#   coefficients; tripled = those coefficients multiplied by 3 to emulate a forced-convection
#   component. Baldwin's finding: default UNDERPREDICTS He usage in every case, so the default
#   model is a lower bound; tripling brings most cases inside 30 %.
# pct_diff = (m_He_sim - m_He_exp)/m_He_exp * 100 (paper Eq. 15).
# units: volumes m^3, pressures kPa, times s, drain/outflow kg/s, heating kW, temps K, mass kg
mode,case,htc_case,fill_volume_m3,ullage_volume_m3,ullage_pressure_initial_kPa,ullage_pressure_target_kPa,ramp_time_s,hold_time_s,drain_time_s,drain_rate_kg_per_s,ambient_heating_kW,T_He_inlet_avg_K,m_He_exp_kg,m_He_sim_kg,pct_diff,m_LOX_evaporated_sim_kg
ramp,1A,default,1.18,8.6,173,263,28,60,,3.6,5.9,289,2.11,1.70,-19.6,0.48
ramp,1B,default,1.18,8.6,173,263,39,60,,3.6,5.9,283,2.05,1.73,-15.8,0.53
ramp,1C,default,1.18,8.6,173,263,59,60,,3.6,5.9,277,2.09,1.77,-15.4,0.62
ramp,2A,default,3.98,5.8,173,263,25,60,,0.0,5.9,283,1.52,1.21,-20.6,0.55
ramp,2B,default,3.98,5.8,173,263,25,60,,0.0,5.9,286,1.54,1.21,-21.6,0.55
ramp,3A,default,4.08,5.7,173,263,33,60,,3.6,5.9,289,1.81,1.03,-43.2,0.52
ramp,3B,default,3.98,5.8,173,263,25,60,,3.6,5.9,289,1.84,1.02,-44.8,0.48
ramp,4A,default,4.08,5.7,173,310,31,60,,3.6,5.9,289,2.42,1.41,-41.6,0.78
